Gen;BOKU_1;BOKU_2;BOKU_3;BOKU_4;SKG-I_1;SKG-I_2;SKG-I_3;SKG-I_4
245;82,04342;16,29101;28,24468;26,82018;10,64998;47,69475;81,44276;11,92560
246;365,22420;407,90700;216,37710;182,76240;448,92930;382,55400;197,91720;189,17950
247;17.154,53000;18.409,30000;17.678,41000;18.652,14000;18.713,13000;20.741,31000;19.496,35000;18.473,36000
248;685,22820;746,39060;1.500,85700;1.649,20300;762,15060;921,80050;668,64530;616,67820
249;6,44482;4,91226;7,16434;4,42062;4,78732;3,99152;4,16803;3,50171
250;441,37890;492,76160;688,20450;686,92870;696,35610;709,49510;824,10500;818,86850
251;1,04316;9,33739;19,10597;14,69394;8,23746;1,60150;31,76565;11,33830
252;406,67300;339,24300;381,97340;350,25890;2.600,23900;2.719,31600;1.707,80600;1.885,52100
253;405,09070;256,08940;624,53760;668,65140;2.930,13800;2.503,58500;3.305,21100;2.918,89800
254;164,81250;113,89230;184,98790;125,96850;163,04450;175,02700;159,71160;121,64270
255;70,38322;14,72640;56,16723;82,80243;85,42388;60,29145;78,80382;78,04546
256;743,41100;688,98710;1.127,09700;918,49130;921,96520;818,46560;868,22290;919,89550
257;4,70174;2,84128;4,53501;3,46538;5,80047;4,00173;5,38013;4,04923
258;1.742,49000;1.671,49100;1.808,70500;1.943,49400;1.429,74100;1.398,71400;1.027,48100;1.209,77200
259;16,47459;8,42189;6,67783;6,23726;5,99894;3,86681;10,39794;6,36853
260;872,66440;888,13840;843,82450;837,50110;564,96880;503,97620;474,84000;540,95640
261;17,17244;21,80281;3,64152;1,55945;1.065,30900;1.112,87800;434,82730;479,78190
262;135,63030;197,86050;231,05930;244,21360;341,26250;324,06120;474,03840;412,77820
263;7.804,54800;7.804,76000;9.228,04800;10.909,06000;2.867,14300;2.560,54400;6.547,81000;5.687,46000
264;30,34504;2,55693;5,06936;48,88921;31,08963;2,67816;7,97064;2,29488
265;567,21980;475,45460;1.143,99400;1.127,45000;1.555,32700;1.657,34900;1.225,08500;1.377,05700
266;64,17886;62,11955;70,34494;71,85830;87,90202;22,49942;86,12148;62,35408
267;8,93365;6,79450;8,63234;23,00296;12,86106;12,20006;9,79950;4,45182
268;5,29708;9,47028;11,10654;5,69661;3,74628;11,41196;5,79554;11,85647
269;6,32355;4,29037;5,18837;18,13670;34,45179;6,94091;34,83991;6,21996
270;41,15170;48,15912;33,20847;37,74365;43,45099;23,97773;38,05108;34,60151
271;5,67260;39,38857;1,76006;9,44686;194,44320;121,56530;110,43360;108,06520
272;41,65571;4,05187;3,56332;27,83720;34,46858;2,25505;5,57470;1,62133
273;84,98156;109,98750;96,72489;126,42260;139,34490;132,12350;396,28310;251,54950
274;26,67148;34,96593;24,76148;3,69712;50,14214;41,93229;16,00521;39,25570
275;1,00000;1,02792;1,15491;7,07309;2,47225;3,91919;1,00000;2,08826
276;6,36365;4,50596;3,68262;5,28111;9,01525;30,72471;1,99128;5,50329
277;53,52541;68,19482;27,71552;83,11482;96,51540;34,59779;24,63171;55,87314
278;3,18133;2,98422;2,44759;6,33431;5,11326;2,62247;2,51317;1,10773
279;6,44412;21,78075;1,73483;16,68209;2,15304;4,92858;19,55829;11,05139
280;16,75521;34,13781;28,99523;39,78686;24,05622;33,93359;63,98481;35,68437
281;328,95000;377,83430;213,72480;122,30290;211,40210;334,43320;721,81870;570,19450
282;99,31397;141,12240;319,79350;353,23970;254,63560;254,41130;451,12660;430,39510
283;47,16365;12,97026;62,86453;48,24454;45,45886;10,10768;20,38051;6,46315
284;413,94060;374,67350;412,34710;401,86360;743,72690;618,37420;439,14230;489,27000
285;62,57111;103,31790;104,67510;87,95792;194,13020;194,88570;146,32890;131,67530
286;213,91870;187,57910;110,23780;121,68430;178,78010;199,00850;139,44900;155,83900
287;98,59209;57,81742;88,88670;74,63293;81,76434;107,97600;75,06654;99,32690
288;142,88270;180,99130;316,10640;350,53790;165,60340;169,38710;278,89760;297,76580
289;157,24970;174,64310;164,20410;215,95300;178,63030;142,70600;117,49900;122,13730
290;6,97421;35,45253;3,80335;6,39734;44,38973;21,73979;21,36570;2,09506
291;72,59263;52,96535;45,81306;50,84129;10,98213;44,47790;2,17914;37,48334
292;68,60723;71,88879;63,92293;45,54321;41,29661;68,02256;73,19429;71,15665
293;1.671,09600;2.520,85900;1.900,42800;1.692,41700;2.185,25300;1.734,16600;2.072,87700;2.339,32000
294;3,88685;15,35284;3,31023;4,17476;10,11709;24,58247;29,93109;5,06638
295;4.789,74300;4.834,13900;3.718,41300;3.754,14600;7.417,37500;8.231,87800;10.430,97000;10.685,86000
296;43,13983;2,10733;4,07020;1,12812;3,00307;17,04254;14,17252;4,62393
297;1.697,60400;2.118,33600;2.731,85500;2.574,23500;814,98790;854,16390;1.734,19600;1.762,14000
298;50,19315;61,04480;65,43868;47,63255;96,71923;88,19878;64,73761;44,46626
299;18,37253;16,74639;11,04773;12,92194;27,79795;17,39718;16,21632;10,13116
300;31,27671;4,23664;21,57092;55,66362;24,18231;68,54843;39,83438;40,49841
301;32,54839;36,75575;4,75320;11,78638;20,97278;20,91810;41,77021;19,50400
